time,open,high,low,close,Internal Higher High,Internal Lower High,Internal Lower Low,Internal Higher Low,Liquidity Grabs (Open),Liquidity Grabs (High,Liquidity Grabs (Low),Liquidity Grabs (Close),Premium Bottom,Equilibrium Top,Equilibrium Bottom,Discount Top,Custom Alert Condition Highlighter,Alert Scripting Condition Highlighter,@valuewhen
1782878400,7532.5,7532.75,7528.25,7529.75,,,,,,,,,7563.937499999999,7531.53125,7527.71875,7495.312499999999,,,
1782878700,7529.75,7531.25,7529.5,7530,,,,,,,,,7563.937499999999,7531.53125,7527.71875,7495.312499999999,,,
1782879000,7530,7530.75,7527.75,7528,,,,,,,,,7563.937499999999,7531.53125,7527.71875,7495.312499999999,,,
1782879300,7528,7528.75,7527.25,7528.25,,,,,,,,,7563.937499999999,7531.53125,7527.71875,7495.312499999999,,,
1782879600,7528,7529.75,7527,7528.5,,,,7527,,,,,7563.937499999999,7531.53125,7527.71875,7495.312499999999,,,
1782879900,7528.25,7530.75,7527.75,7530,,,,,,,,,7563.937499999999,7531.53125,7527.71875,7495.312499999999,,,
1782880200,7530.25,7530.5,7529.5,7530.25,,,,,,,,,7563.937499999999,7531.53125,7527.71875,7495.312499999999,,,
1782880500,7530.25,7530.25,7527.5,7528.5,,,,,,,,,7563.937499999999,7531.53125,7527.71875,7495.312499999999,,,
1782880800,7528.25,7531.5,7528,7530.75,,,,,,,,,7563.937499999999,7531.53125,7527.71875,7495.312499999999,,,
1782881100,7531.25,7534,7531.25,7533,,,,,,,,,7563.937499999999,7531.53125,7527.71875,7495.312499999999,,,
1782881400,7533,7535,7533,7534.5,7535,,,,,,,,7563.937499999999,7531.53125,7527.71875,7495.312499999999,,,
1782881700,7534.25,7534.75,7529.75,7530.5,,,,,,,,,7563.937499999999,7531.53125,7527.71875,7495.312499999999,,,
1782882000,7530.75,7531.75,7528.75,7530.25,,,,,,,,,7563.937499999999,7531.53125,7527.71875,7495.312499999999,,,
1782882300,7530.25,7532.5,7530,7531.5,,,,,,,,,7563.937499999999,7531.53125,7527.71875,7495.312499999999,,,
1782882600,7531.25,7531.25,7530,7530.5,,,,,,,,,7563.937499999999,7531.53125,7527.71875,7495.312499999999,,,
1782882900,7530.5,7531.25,7529.25,7530.5,,,,,,,,,7563.937499999999,7531.53125,7527.71875,7495.312499999999,,,
1782883200,7530.5,7530.75,7528,7529.75,,,,,,,,,7563.937499999999,7531.53125,7527.71875,7495.312499999999,,,
1782883500,7529.5,7529.5,7527.5,7528.25,,,,,,,,,7563.937499999999,7531.53125,7527.71875,7495.312499999999,,,
1782883800,7528.5,7529.5,7527.5,7528.25,,,,,,,,,7563.937499999999,7531.53125,7527.71875,7495.312499999999,,,
1782884100,7528.25,7529,7526.25,7528.5,,,,,,,,,7563.937499999999,7531.53125,7527.71875,7495.312499999999,,,
1782884400,7528.5,7530,7527.75,7528.5,,,,,,,,,7563.937499999999,7531.53125,7527.71875,7495.312499999999,,,
1782884700,7528.5,7530,7525.75,7526.25,,,,,,,,,7563.937499999999,7531.53125,7527.71875,7495.312499999999,,,
1782885000,7526.5,7528.5,7526,7527.75,,,,,,,,,7563.937499999999,7531.53125,7527.71875,7495.312499999999,,,
1782885300,7527.5,7528.5,7527,7527.5,,,,,,,,,7563.937499999999,7531.53125,7527.71875,7495.312499999999,,,
1782885600,7527.5,7530,7524.75,7525.75,,,,,,,,,7563.937499999999,7531.53125,7527.71875,7495.312499999999,,,
1782885900,7525.5,7527.75,7525.25,7527.25,,,,,,,,,7563.937499999999,7531.53125,7527.71875,7495.312499999999,,,
1782886200,7527,7529.25,7526,7526.5,,,,,,,,,7563.937499999999,7531.53125,7527.71875,7495.312499999999,,,
1782886500,7526.5,7528,7525.5,7525.75,,,,,,,,,7563.937499999999,7531.53125,7527.71875,7495.312499999999,,,
1782886800,7526,7526.75,7525.5,7525.75,,,,,,,,,7563.937499999999,7531.53125,7527.71875,7495.312499999999,,,
1782887100,7525.5,7526.5,7521.75,7525.75,,,7521.75,,,,,,7565.237499999999,7543.88125,7541.36875,7520.0125,,,
